title,code,url,credits,mandatory,level,semester,faculty,freechoice,description,required_by,prerequisites_list,corequisites_list
Agile Software Pipelines,COMP33312,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP33312,10,Optional,3,Semester 2,Department of Computer Science,False,"The approach to software development known as “agile software engineering” is now well established within the industry as the most reliable and cost-effective in all but a handful of circumstances. Agile approaches emphasise the early and frequent delivery of releasable software artefacts to the client, combined with disciplined but flexible approaches to project progress tracking, to the continuous and active collection of feedback on the success (or otherwise) of the work done so far and to the creation of high-quality code bases that are easy and safe to change. In an agile project, the first usable executable artefacts will be created very early in the project’s lifetime and may be in active use while other parts of the required functionality are still in various stages of development. New and changed functionality is delivered incrementally at short intervals throughout the duration of the project, blurring the distinction between the development and the operational project phases. While the human processes used to manage and carry out agile software engineering are highly iterative, the artefacts produced by the processes are increasingly viewed as passing through one or more linear “pipelines”, on their journey to deployment and use in the end-user environment. New models for the delivery of software (such as continuous delivery) depend upon a carefully configured technical pipeline as much as they do upon effective and efficient human design and feedback processes. In this course unit, we will examine how the combination of these iterative human processes and technical development and delivery pipelines is used to create software that provides real value and return on investment for clients and end-users, while also being of sufficiently high quality to allow frequent and sometimes substantial changes throughout the software’s lifetime. Specifically, the following topics will be covered: •    Introduction to agile methodologies •    Agile approaches to requirements management •    Agile approaches to project planning and tracking •    Agile approaches to software quality management •    DevOps practices in an agile context •    Retrospectives and agile process improvement",,"COMP23311,COMP23412",
User Experience,COMP33511,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP33511,10,Optional,3,Semester 1,Department of Computer Science,False,"You should not confuse this high-level overview of the domain with the knowledge you would acquire in a full three-year degree programme. We will cover the tools, techniques, and mindset necessary to competently approach your first user testing and user experience job. Designed from a practical perspective the unit will enable you to take a junior role in a user experience department or usability company. It will also provide you with the overall knowledge to communicate with others and make sensible suggestions regarding UX work while serving as a basis for future self-study within the UX domain (Further Reading and SAQs). In this case, the unit is composed of discussions through (a) the principles, tools, and techniques required; (b) These unit notes to expand on those principles and techniques; (c) the discussion topics to teach and test your ability to summarise, and then form a view based on a complex UX topic; and finally, (d) the secondary text which will hopefully teach you something about the general science of the area while also enabling you to critique areas and understand how and why your view has been formed (including the ability for people to have different views which may coexist).",,"COMP23311,COMP23412",
AI and Games,COMP34111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34111,10,Optional,3,Semester 1,Department of Computer Science,False,"The main contents of this module include:   1. What is a game? (Definition of game, pay-off function, representations in normal form, and extensive form.) 2. What is a plan for decision-making in a game context? (Definition of strategy, representations of strategy.) 3. What does it mean to play a game well? (Definition of best-response strategy, equilibrium point, discussion of the validity of these concepts, discussion of alternatives.) 4. Properties of the Nash equilibrium. (How it incentivizes bad outcomes to prevent opponents from taking advantage.) 5. How do we find good game plans? (Complexity of finding equilibrium points, minimax algorithm, alpha-beta pruning, discussion of the components of a typical game playing program via evaluation function and alpha-beta search) 6. How do we learn good game plans? (Introduction to Exploration & Exploitation, learning through ""self-play"", Monte Carlo Tree Search and AlphaGo.)",COMP34612,"COMP11120,COMP13212,MATH11121,MATH10111",
Cognitive Robotics,COMP34212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34212,10,Optional,3,Semester 2,,True,"This unit provides an in-depth understanding of the field of cognitive robotics. This will analyse the selection, use and combination of methods and approaches in robotics, in artificial intelligence and in psychology and neuroscience to design intelligent behaviour and cognitive skills in interactive robots.",,,
Mathematical Topics in Machine Learning,COMP34312,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34312,10,Optional,3,Semester 2,Department of Computer Science,True,"Topic 1: Empirical risk minimization, regularisation; bias/variance theory and the relation to overfitting; probabilistic view: likelihood vs loss, introducing exponential families.   Topic 2: Information theory: KL-divergence vs. cross-entropy, mutual information; the view of ML as compression.   Topic 3: Optimization theory (calculus). Why GD?  What are convex and non-convex functions? How do gradients inform how we optimize a function? How can we use second order properties? How can we prove whether a method will converge?   Topic 4: Dimensionality reduction (matrix algebra). “refine, denoise, and visualise your data”.  Data usually has limited degrees of interest, living on a low-dimensional manifold within a high-dimensional space. This topic will introduce students to matrix-algebra-intensive methods used to learn feature dimensions that can aid in your model fitting process. Examples include PCA, spectral embedding, Fisher discriminant analysis, etc. These allow visualisation, denoising and enhancing the separation of data for classification.",,COMP24112,
Computational Game Theory,COMP34612,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34612,10,Optional,3,Semester 2,Department of Computer Science,False,"There has been a substantial grow of research activity at the boundaries of game theory, artificial intelligence, economics, computer science, and a number of other disciplines in recent years. The reasons behind this are twofold: On the one hand, game theory and its applications raise many important and challenging computing, learning, and communication problems to CS and AI; On the other hand, game theory provides important insights and powerful frameworks to a number of CS topics, including AI, Multi-agent systems, computer networks as well as many others.   The main contents of this module include: 1) To introduce the concepts and computational solutions for non-cooperative and cooperative game theory with their applications 2) To introduce the machine learning techniques to solve the learning issues arise from the applications of game theory with their applications 3) To introduce the mechanism design (the reverse game theory) and its applications for the design of the rules of a game   The module includes a major piece of coursework (a group project run over 5 weeks) to apply game theory and learning methods covered to solve the pricing game problem.",,"COMP11120,COMP13212,COMP24112,MATH11121,MATH10111",COMP34111
Natural Language Processing,COMP34711,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34711,10,Optional,3,Semester 1,Department of Computer Science,False,"This course unit will cover the key linguistic and algorithmic foundations of natural language processing (NLP). It will explore the main challenges in processing textual data, representing word and document semantics, and processing and identifying patterns in speech. It will consider both rule-based and machine/deep learning approaches, and building and using large language models for specific tasks, including applications such text classification, word sense disambiguation, speech synthesis and speech recognition. The syllabus will cover the following topics:   •    Introduction to NLP •    Lexical Semantics   •    Language Models •    Deep Learning for NLP •    Speech Synthesis and Recognition •    NLP Applications •    Ethical Considerations for NLP",COMP34812,COMP24112,
Natural Language Understanding,COMP34812,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP34812,10,Optional,3,Semester 2,Department of Computer Science,False,"Drawing from concepts covered in the prerequisite COMP34711: Natural Language Processing unit, this unit will enable students to look more deeply into how machines analyse and recognise meaning expressed in natural language. In this unit, students will gain hands-on experience in investigating solutions to a number of natural language understanding tasks. This will provide students with the know-how required to develop technologies for real-world applications enabling communication between humans and machines, which have become increasingly ubiquitous and indispensable.",,COMP34711,
Chip Multiprocessors,COMP35112,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP35112,10,Optional,3,Semester 2,Department of Computer Science,True,"Due to technological limitations, it is proving increasingly difficult to maintain a continual increase in the performance of individual processors. Therefore, the current trend is to integrate multiple processors on to a single chip and exploit the resulting parallel resources to achieve higher computing power. However, this may require significantly different approaches to both hardware and software particularly for general purpose applications. This course will explore these issues in detail.",,COMP25212,
Algorithms and Complexity,COMP36111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP36111,10,Optional,3,Semester 1,Department of Computer Science,True,"The Unit constitutes a self-contained introduction to the theory of Computational Complexity. It assumes no pre-requisites other than a knowledge of basic algorithms and mathematical notation. The teaching will be exclusively by means of traditional lectures, supported by the prescribed course text.",,"COMP11120,COMP11212,COMP26120,MATH11121,MATH10111,MATH10101",
Mathematical Systems and Computation,COMP36212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP36212,10,Optional,3,Semester 2,Department of Computer Science,True,"Mathematical systems can be used to describe many aspects of the world around us, from modelling physics and chemistry, to predicting financial markets and enabling machine learning and AI. By modelling systems mathematically it is possible to analyse them, and make predictions about their performance and how it can be optimised. Solution of these mathematical systems often relies on computational hardware and the application of algorithms which solve an approximate form of the problem. It is therefore important to understand the limitations imposed by the computational implementation of a given problem, and the effect this can have on a given solution.   The course explores these concepts from three perspectives: by introducing the notion of finite precision computation and error propagation within a computational process; through exploring techniques for the numerical solution of differential equations; and through the use of optimisation algorithms to maximise the performance of a solution to a given problem. These techniques are then applied to real-world problems, including physical and engineering systems, and machine learning operations within neural networks. The course targets students seeking to gain experience of how numerical computation is employed in industry and research, and who want a deeper understanding of how numerical algorithms and hardware combine when solving problems. It will help develop the skills necessary to work at the hardware-software interface, and in harnessing the power of hardware accelerators and modern computer architectures to develop fast, accurate and precise analysis tools.",,COMP11120,
Graphics & Virtual Environments,COMP37111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP37111,10,Optional,3,Semester 1,Department of Computer Science,False,This Course Unit covers the principles of modern Computer Graphics from creation modelling of scenes through to animation and rendering with a particular focus on the quality and performance issues relating to the various techniques.,,COMP27112,
Computer Vision,COMP37212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP37212,10,Optional,3,Semester 2,,False,,,"COMP27112,COMP11120",
Advanced Distributed Systems,COMP38311,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP38311,10,Optional,3,Semester 1,Department of Computer Science,False,Distributed Systems: The Big Picture   Categories and Characteristics   Historical Perspective   Architectural Paradigms   Cloud Computing Concepts and Economics Resource Management   Provisioning   Scheduling   Load Balancing   Energy Management   Quality of Service Big Data as an Application Driver      Big Data: Drivers and the 4Vs      Batch: MapReduce      I nteractive: NoSQL     Streaming,,"COMP23111,COMP28112",
Quantum Computing,COMP39112,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP39112,10,Optional,3,Semester 2,,True,"Quantum computing is one of the most intriguing of modern developments at the interface of computing, mathematics and physics, whose long term impact is far from clear as yet.",,,
Independent Study and Technical Explanations,EEEN31001,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=EEEN31001,10,Optional,3,Semester 1,,False,"You will independently study a technical topic of your choosing* related to your degree title then clearly explain it to your peers or the public by creating learning resources (e.g. videos, workbooks, and/or interactive notes). This is an opportunity for you to explore an area of interest while building useful skills for your career. The syllabus will include material on topics such as: finding and evaluating course material, creating effective graphics, recording videos, why explaining is hard, giving useful feedback, and similar. Where possible it will also include guest lectures discussing how and how often these skills are used in industry. *(topic will be agreed between you and the unit tutor)",,,
Enterprise Management for Computer Scientists,MCEL30031,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MCEL30031,10,Optional,3,Variable teaching patterns,,False,The unit enables students to critically analyse a range of issues that business managers face using a range of business tools and techniques.  The tools are explained in lectures and students are then encouraged to apply them in separate case study sessions.  Analysis often reveals a number of conflicting factors and students are required to make judgements based on evidence that justifies their decisions.,,,
Managing Finance in Enterprises for Computer Scientists,MCEL30032,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MCEL30032,10,Optional,3,Semester 2,Alliance Manchester Business School,False,"The unit aims to: 1. Allow students to understand and develop the necessary skills to produce a proposal to support a major project within an organisation or a business plan for a new start-up. 2. Introduce essential business finance and business risk management tools. 3. To explore resources required to form, develop and grow a business or a product line within a business. 4. To encourage students to think entrepreneurially as an essential component of their personal development.",,,
